Index,Substrate,Photocatalyst,Organocatalyst,File name,AR,ee (IM-MS),,
232,S2,P9,L1,S2-P9-L1,0.20 ,-0.95%,,
233,S2,P9,L2,S2-P9-L2,1.80 ,52.53%,,
234,S2,P9,L3,S2-P9-L3,0.34 ,52.72%,,
235,S2,P9,L4,S2-P9-L4,1.02 ,-48.27%,,
236,S2,P9,L5,S2-P9-L5,0.84 ,-8.56%,,
237,S2,P9,L6,S2-P9-L6,0.27 ,21.94%,,
238,S2,P9,L7,S2-P9-L7,1.15 ,-17.88%,,
239,S2,P9,L8,S2-P9-L8,0.38 ,-6.90%,,
240,S2,P9,L9,S2-P9-L9,0.60 ,-27.35%,,
241,S2,P9,L10,S2-P9-L10,1.21 ,-58.32%,,
242,S2,P9,L11,S2-P9-L11,0.19 ,-8.38%,,
243,S2,P10,L1,S2-P10-L1,0.09 ,2.33%,,
244,S2,P10,L2,S2-P10-L2,0.70 ,53.69%,,
245,S2,P10,L3,S2-P10-L3,0.09 ,48.11%,,
246,S2,P10,L4,S2-P10-L4,0.20 ,-59.78%,,
247,S2,P10,L5,S2-P10-L5,0.21 ,-11.64%,,
248,S2,P10,L6,S2-P10-L6,0.14 ,28.36%,,
249,S2,P10,L7,S2-P10-L7,0.25 ,-8.28%,,
250,S2,P10,L8,S2-P10-L8,0.10 ,-7.44%,,
251,S2,P10,L9,S2-P10-L9,0.28 ,-20.46%,,
252,S2,P10,L10,S2-P10-L10,0.31 ,-60.76%,,
253,S2,P10,L11,S2-P10-L11,0.03 ,-13.69%,,
254,S2,P11,L1,S2-P11-L1,0.06 ,6.81%,,
255,S2,P11,L2,S2-P11-L2,0.78 ,57.13%,,
256,S2,P11,L3,S2-P11-L3,0.09 ,60.95%,,
257,S2,P11,L4,S2-P11-L4,0.33 ,-78.07%,,
258,S2,P11,L5,S2-P11-L5,0.30 ,-7.96%,,
259,S2,P11,L6,S2-P11-L6,0.14 ,34.94%,,
260,S2,P11,L7,S2-P11-L7,0.54 ,-15.11%,,
261,S2,P11,L8,S2-P11-L8,0.11 ,-13.06%,,
262,S2,P11,L9,S2-P11-L9,0.33 ,-30.11%,,
263,S2,P11,L10,S2-P11-L10,1.00 ,-71.31%,,
264,S2,P11,L11,S2-P11-L11,0.05 ,-15.81%,,
265,S2,P12,L1,S2-P12-L1,0.14 ,-1.55%,,
266,S2,P12,L2,S2-P12-L2,0.48 ,58.07%,,
267,S2,P12,L3,S2-P12-L3,0.20 ,62.60%,,
268,S2,P12,L4,S2-P12-L4,0.73 ,-71.51%,,
269,S2,P12,L5,S2-P12-L5,0.24 ,-9.86%,,
270,S2,P12,L6,S2-P12-L6,0.08 ,27.91%,,
271,S2,P12,L7,S2-P12-L7,0.33 ,-20.69%,,
272,S2,P12,L8,S2-P12-L8,0.01 ,-4.38%,,
273,S2,P12,L9,S2-P12-L9,0.48 ,-23.93%,,
274,S2,P12,L10,S2-P12-L10,0.45 ,-66.93%,,
275,S2,P12,L11,S2-P12-L11,0.09 ,-3.06%,,
276,S2,P13,L1,S2-P13-L1,0.07 ,-0.24%,,
277,S2,P13,L2,S2-P13-L2,0.28 ,55.85%,,
278,S2,P13,L3,S2-P13-L3,0.10 ,55.05%,,
279,S2,P13,L4,S2-P13-L4,0.38 ,-66.25%,,
280,S2,P13,L5,S2-P13-L5,0.09 ,-7.38%,,
281,S2,P13,L6,S2-P13-L6,0.08 ,30.77%,,
282,S2,P13,L7,S2-P13-L7,0.18 ,-13.81%,,
283,S2,P13,L8,S2-P13-L8,0.01 ,-3.77%,,
284,S2,P13,L9,S2-P13-L9,0.21 ,-26.11%,,
285,S2,P13,L10,S2-P13-L10,0.23 ,-65.52%,,
286,S2,P13,L11,S2-P13-L11,0.07 ,-3.00%,,
287,S3,P1,L1,S3-P1-L1,0.24 ,3.80%,,
288,S3,P1,L2,S3-P1-L2,1.07 ,42.96%,,
289,S3,P1,L3,S3-P1-L3,0.42 ,60.88%,,
290,S3,P1,L4,S3-P1-L4,1.85 ,-43.38%,,
291,S3,P1,L5,S3-P1-L5,0.78 ,4.96%,,
292,S3,P1,L6,S3-P1-L6,0.14 ,29.40%,,
293,S3,P1,L7,S3-P1-L7,0.96 ,-0.96%,,
294,S3,P1,L8,S3-P1-L8,0.06 ,3.71%,,
295,S3,P1,L9,S3-P1-L9,1.41 ,-22.63%,,
296,S3,P1,L10,S3-P1-L10,0.34 ,-29.65%,,
297,S3,P1,L11,S3-P1-L11,0.15 ,10.07%,,
298,S3,P2,L1,S3-P2-L1,0.17 ,-5.45%,,
299,S3,P2,L2,S3-P2-L2,1.11 ,31.42%,,
300,S3,P2,L3,S3-P2-L3,0.53 ,36.29%,,
301,S3,P2,L4,S3-P2-L4,2.45 ,-58.82%,,
302,S3,P2,L5,S3-P2-L5,1.05 ,-12.34%,,
303,S3,P2,L6,S3-P2-L6,0.13 ,13.55%,,
304,S3,P2,L7,S3-P2-L7,0.85 ,-20.26%,,
305,S3,P2,L8,S3-P2-L8,0.05 ,-35.96%,,
306,S3,P2,L9,S3-P2-L9,1.08 ,-39.39%,,
307,S3,P2,L10,S3-P2-L10,0.38 ,-21.05%,,
308,S3,P2,L11,S3-P2-L11,0.19 ,-15.54%,,
309,S3,P3,L1,S3-P3-L1,0.30 ,-19.85%,,
310,S3,P3,L2,S3-P3-L2,1.19 ,36.13%,,
311,S3,P3,L3,S3-P3-L3,0.64 ,52.20%,,
312,S3,P3,L4,S3-P3-L4,2.51 ,-32.49%,,
313,S3,P3,L5,S3-P3-L5,0.95 ,5.99%,,
314,S3,P3,L6,S3-P3-L6,0.17 ,20.83%,,
315,S3,P3,L7,S3-P3-L7,1.31 ,8.11%,,
316,S3,P3,L8,S3-P3-L8,0.10 ,-33.64%,,
317,S3,P3,L9,S3-P3-L9,1.24 ,-23.71%,,
318,S3,P3,L10,S3-P3-L10,0.32 ,-34.23%,,
319,S3,P3,L11,S3-P3-L11,0.17 ,-10.36%,,
320,S3,P4,L1,S3-P4-L1,0.21 ,9.88%,,
321,S3,P4,L2,S3-P4-L2,1.20 ,38.36%,,
322,S3,P4,L3,S3-P4-L3,0.52 ,51.65%,,
323,S3,P4,L4,S3-P4-L4,2.02 ,-39.52%,,
324,S3,P4,L5,S3-P4-L5,0.73 ,4.39%,,
325,S3,P4,L6,S3-P4-L6,0.16 ,29.89%,,
326,S3,P4,L7,S3-P4-L7,1.27 ,-0.38%,,
327,S3,P4,L8,S3-P4-L8,0.10 ,-18.02%,,
328,S3,P4,L9,S3-P4-L9,1.12 ,-15.12%,,
329,S3,P4,L10,S3-P4-L10,0.46 ,-29.70%,,
330,S3,P4,L11,S3-P4-L11,0.05 ,12.49%,,
331,S3,P5,L1,S3-P5-L1,0.28 ,7.79%,,
332,S3,P5,L2,S3-P5-L2,1.49 ,36.31%,,
333,S3,P5,L3,S3-P5-L3,0.83 ,35.67%,,
334,S3,P5,L4,S3-P5-L4,1.97 ,-37.65%,,
335,S3,P5,L5,S3-P5-L5,0.72 ,-0.77%,,
336,S3,P5,L6,S3-P5-L6,0.11 ,27.09%,,
337,S3,P5,L7,S3-P5-L7,1.16 ,-0.44%,,
338,S3,P5,L8,S3-P5-L8,0.06 ,-17.17%,,
339,S3,P5,L9,S3-P5-L9,1.15 ,-37.60%,,
340,S3,P5,L10,S3-P5-L10,0.34 ,-28.95%,,
341,S3,P5,L11,S3-P5-L11,0.11 ,7.64%,,
342,S3,P6,L1,S3-P6-L1,0.25 ,5.53%,,
343,S3,P6,L2,S3-P6-L2,1.40 ,37.64%,,
344,S3,P6,L3,S3-P6-L3,0.78 ,38.78%,,
345,S3,P6,L4,S3-P6-L4,0.74 ,-33.92%,,
346,S3,P6,L5,S3-P6-L5,0.62 ,4.27%,,
347,S3,P6,L6,S3-P6-L6,0.06 ,16.53%,,
348,S3,P6,L7,S3-P6-L7,0.94 ,-2.84%,,
349,S3,P6,L8,S3-P6-L8,0.01 ,-12.12%,,
350,S3,P6,L9,S3-P6-L9,0.35 ,-17.75%,,
351,S3,P6,L10,S3-P6-L10,0.37 ,-13.44%,,
352,S3,P6,L11,S3-P6-L11,0.02 ,4.90%,,
353,S3,P7,L1,S3-P7-L1,0.02 ,-9.26%,,
354,S3,P7,L2,S3-P7-L2,0.38 ,45.02%,,
355,S3,P7,L3,S3-P7-L3,0.08 ,12.95%,,
356,S3,P7,L4,S3-P7-L4,0.36 ,-32.48%,,
357,S3,P7,L5,S3-P7-L5,0.12 ,-1.64%,,
358,S3,P7,L6,S3-P7-L6,0.06 ,-0.11%,,
359,S3,P7,L7,S3-P7-L7,0.45 ,3.67%,,
360,S3,P7,L8,S3-P7-L8,0.12 ,-12.58%,,
361,S3,P7,L9,S3-P7-L9,0.19 ,-8.75%,,
362,S3,P7,L10,S3-P7-L10,0.57 ,-28.48%,,
363,S3,P7,L11,S3-P7-L11,0.03 ,-27.48%,,
364,S3,P8,L1,S3-P8-L1,0.10 ,8.71%,,
365,S3,P8,L2,S3-P8-L2,1.05 ,40.63%,,
366,S3,P8,L3,S3-P8-L3,0.41 ,35.38%,,
367,S3,P8,L4,S3-P8-L4,0.77 ,5.88%,,
368,S3,P8,L5,S3-P8-L5,0.36 ,-2.92%,,
369,S3,P8,L6,S3-P8-L6,0.13 ,13.91%,,
370,S3,P8,L7,S3-P8-L7,0.50 ,4.52%,,
371,S3,P8,L8,S3-P8-L8,0.17 ,1.41%,,
372,S3,P8,L9,S3-P8-L9,0.39 ,-10.04%,,
373,S3,P8,L10,S3-P8-L10,0.33 ,-40.76%,,
374,S3,P8,L11,S3-P8-L11,0.04 ,8.37%,,
375,S3,P9,L1,S3-P9-L1,0.09 ,8.60%,,
376,S3,P9,L2,S3-P9-L2,0.92 ,31.25%,,
377,S3,P9,L3,S3-P9-L3,0.11 ,35.10%,,
378,S3,P9,L4,S3-P9-L4,0.39 ,-15.36%,,
379,S3,P9,L5,S3-P9-L5,0.63 ,12.83%,,
380,S3,P9,L6,S3-P9-L6,0.13 ,20.82%,,
381,S3,P9,L7,S3-P9-L7,0.57 ,9.47%,,
382,S3,P9,L8,S3-P9-L8,0.12 ,0.07%,,
383,S3,P9,L9,S3-P9-L9,0.34 ,-7.41%,,
384,S3,P9,L10,S3-P9-L10,0.36 ,-19.79%,,
385,S3,P9,L11,S3-P9-L11,0.03 ,-2.39%,,
386,S3,P10,L1,S3-P10-L1,0.04 ,-1.25%,,
387,S3,P10,L2,S3-P10-L2,0.23 ,44.61%,,
388,S3,P10,L3,S3-P10-L3,0.04 ,20.47%,,
389,S3,P10,L4,S3-P10-L4,0.09 ,-3.68%,,
390,S3,P10,L5,S3-P10-L5,0.11 ,2.53%,,
391,S3,P10,L6,S3-P10-L6,0.08 ,12.43%,,
392,S3,P10,L7,S3-P10-L7,0.14 ,10.49%,,
393,S3,P10,L8,S3-P10-L8,0.07 ,1.55%,,
394,S3,P10,L9,S3-P10-L9,0.12 ,-5.91%,,
395,S3,P10,L10,S3-P10-L10,0.08 ,-7.55%,,
396,S3,P10,L11,S3-P10-L11,0.01 ,-17.76%,,
397,S3,P11,L1,S3-P11-L1,0.04 ,0.12%,,
398,S3,P11,L2,S3-P11-L2,0.43 ,45.33%,,
399,S3,P11,L3,S3-P11-L3,0.05 ,36.58%,,
400,S3,P11,L4,S3-P11-L4,0.25 ,-17.65%,,
401,S3,P11,L5,S3-P11-L5,0.15 ,-8.45%,,
402,S3,P11,L6,S3-P11-L6,0.10 ,31.83%,,
403,S3,P11,L7,S3-P11-L7,0.26 ,9.68%,,
404,S3,P11,L8,S3-P11-L8,0.07 ,-2.36%,,
405,S3,P11,L9,S3-P11-L9,0.21 ,-5.92%,,
406,S3,P11,L10,S3-P11-L10,0.56 ,-26.90%,,
407,S3,P11,L11,S3-P11-L11,0.01 ,-18.36%,,
408,S3,P12,L1,S3-P12-L1,0.03 ,-3.94%,,
409,S3,P12,L2,S3-P12-L2,0.42 ,47.53%,,
410,S3,P12,L3,S3-P12-L3,0.12 ,-23.05%,,
411,S3,P12,L4,S3-P12-L4,0.40 ,-33.73%,,
412,S3,P12,L5,S3-P12-L5,0.21 ,5.40%,,
413,S3,P12,L6,S3-P12-L6,0.07 ,24.85%,,
